label,x_left,y_left,x_right,y_right
up,0.579972744,0.323226422,0.57836318,0.310625583
left,0.263470888,0.475983173,0.259053588,0.483777881
up,0.531486273,0.221709505,0.530461311,0.221974283
right,0.750435412,0.563293397,0.750349283,0.568062901
left,0.276034206,0.552628577,0.269706339,0.561137259
right,0.867417157,0.581088603,0.867676497,0.58898592
right,0.877752066,0.496285081,0.877652884,0.485419154
right,0.698466539,0.551605999,0.696196258,0.557866812
left,0.131894305,0.445852846,0.128007174,0.433095157
up,0.533948362,0.267858565,0.528209746,0.26153028
left,0.233731702,0.514810383,0.231206983,0.529616594
left,0.233038768,0.525591373,0.232265145,0.527320683
left,0.251159519,0.564595163,0.247949928,0.572964609
right,0.734442174,0.506369531,0.736628532,0.512841582
down,0.523496211,0.694472432,0.516906679,0.678082168
left,0.198834956,0.462816447,0.19465743,0.453199863
right,0.789675117,0.502381682,0.789341211,0.49499619
down,0.57313019,0.6963045,0.571377456,0.707510412
down,0.464530289,0.709128022,0.455232114,0.707222641
down,0.589885235,0.739812076,0.58681339,0.73474592
down,0.491242439,0.743928671,0.485839546,0.727959275
right,0.89933151,0.48873961,0.905523658,0.477154464
right,0.675335169,0.529375434,0.670428813,0.526029587
left,0.297676384,0.536543727,0.291727781,0.540037036
down,0.496374577,0.754220724,0.491269141,0.74891448
left,0.174870357,0.522106349,0.170322329,0.535779536
left,0.272005916,0.545859039,0.26285401,0.558711469
down,0.452056974,0.811711371,0.442813307,0.800566077
left,0.327984065,0.525535285,0.315118641,0.543640494
left,0.283019781,0.446861833,0.27542305,0.451499671
right,0.818771541,0.460508734,0.819152117,0.464209557
left,0.329378128,0.50435251,0.317528754,0.521759748
down,0.577807128,0.818908632,0.565588534,0.814169466
up,0.444927186,0.198971763,0.44061783,0.200304091
right,0.795745313,0.462097138,0.793541968,0.454874903
up,0.581126511,0.286832869,0.584846675,0.284427017
up,0.473245114,0.188072905,0.470277429,0.188811317
up,0.485557079,0.154959634,0.479261398,0.150055394
down,0.521566331,0.814829648,0.51689744,0.815332592
left,0.305728227,0.45494473,0.2949,0.463663369
up,0.535317779,0.216591567,0.540553212,0.216358587
down,0.515361071,0.841721714,0.512193918,0.840916038
up,0.509447277,0.279057622,0.511788011,0.281901002
up,0.504459321,0.180362269,0.500183642,0.167451456
up,0.530439079,0.125554308,0.529303968,0.127714723
up,0.472052306,0.260042578,0.483246148,0.261427939
left,0.280308992,0.561628222,0.274015933,0.562337637
down,0.500612319,0.769184411,0.507845044,0.75641799
down,0.530933797,0.818674862,0.529296696,0.814334512
up,0.525562406,0.252068788,0.528856337,0.256027728
right,0.849896491,0.468791187,0.852336168,0.45763132
left,0.307615727,0.540495932,0.298756659,0.563628554
right,0.751554251,0.463518143,0.74574244,0.45906356
up,0.573928595,0.189186752,0.585325181,0.195949972
left,0.337439924,0.553961813,0.329627007,0.575090528
down,0.586537421,0.721214831,0.568839729,0.7216416
right,0.763892114,0.444204897,0.756784797,0.446594805
right,0.863902688,0.565211117,0.856933653,0.579133749
right,0.696055591,0.52188611,0.694776237,0.542549729
left,0.250382274,0.504238307,0.243003458,0.523097634
