label,x_left,y_left,x_right,y_right
left,0.159882531,0.5251019,0.16062057,0.553872466
down,0.534620225,0.812817633,0.532193184,0.8069399
down,0.585259676,0.72960037,0.586472094,0.748595774
left,0.131046161,0.407999992,0.134174123,0.439128399
right,0.875045419,0.517062128,0.875668466,0.522749364
right,0.841516733,0.452314407,0.84245038,0.454637915
up,0.511330962,0.178777233,0.515469134,0.185956433
up,0.50426209,0.336149812,0.503798127,0.332615018
right,0.77449286,0.448047847,0.780987978,0.454209536
left,0.184227571,0.440647095,0.185903117,0.464903802
left,0.26707837,0.457101166,0.271486789,0.474808484
up,0.465356141,0.154440582,0.46982497,0.160005867
left,0.322622091,0.479011655,0.32085368,0.490378827
down,0.517528832,0.741480231,0.515501261,0.739186883
down,0.504495025,0.844825685,0.505491316,0.850789785
left,0.170472503,0.519576788,0.172876894,0.563367724
left,0.260013133,0.545255184,0.260297239,0.553931952
right,0.879996061,0.448607236,0.883777082,0.447746366
up,0.490233451,0.164373949,0.496990472,0.176395237
up,0.50675416,0.345362782,0.500173628,0.346706957
down,0.469823539,0.776266813,0.469701082,0.776912868
down,0.48784405,0.779176474,0.485418439,0.774978697
left,0.134964153,0.4098382,0.132056907,0.450759739
left,0.25007844,0.459867924,0.249258935,0.48162654
up,0.46671617,0.299419194,0.467536896,0.302868813
left,0.230605066,0.450042427,0.230754122,0.480250359
down,0.45316565,0.68163389,0.444001406,0.693073034
down,0.475601107,0.69868356,0.469934195,0.715502083
right,0.673889637,0.46145013,0.679438174,0.481114179
left,0.134549841,0.520384908,0.126556039,0.57647115
down,0.474914551,0.678739905,0.477404088,0.69863081
right,0.663019419,0.424644947,0.668674111,0.431220621
left,0.247286543,0.525714338,0.251104653,0.563388884
down,0.577734232,0.69594264,0.583080947,0.719178677
up,0.584547102,0.319900095,0.578819752,0.32130003
down,0.453858078,0.690958261,0.454789639,0.711806774
up,0.433674812,0.181438774,0.437902898,0.191602007
down,0.517607689,0.838798344,0.518710315,0.840092838
right,0.81749475,0.427938759,0.818154514,0.446477681
up,0.573234975,0.177048475,0.57581687,0.170428023
up,0.580417693,0.153597891,0.578824699,0.152091622
right,0.803945184,0.434985191,0.803189099,0.446267158
left,0.296432823,0.474236131,0.29425028,0.503879309
left,0.205293521,0.528066814,0.207313448,0.571059942
up,0.579592526,0.260415673,0.579631746,0.267118335
down,0.565020382,0.722183466,0.568630934,0.750725925
up,0.533498049,0.238374934,0.534499824,0.246456489
left,0.260139883,0.423849791,0.259832501,0.455374151
down,0.578820467,0.661985397,0.578516901,0.665096998
down,0.451845825,0.643725336,0.457355529,0.655135572
down,0.516991377,0.751559675,0.525562584,0.780478477
down,0.527910471,0.701077044,0.530472577,0.725639999
left,0.267023385,0.508487582,0.264214694,0.523482263
right,0.797028005,0.453659743,0.79635638,0.46859321
up,0.47589016,0.231540814,0.478426486,0.237995997
right,0.793270528,0.492586613,0.789245844,0.494662672
up,0.565337121,0.21224393,0.568845987,0.224264041
down,0.566418886,0.825941026,0.569884837,0.828118742
left,0.468774885,0.517546952,0.465167016,0.536357999
left,0.354729831,0.415533572,0.354382306,0.430785179
left,0.222599983,0.522138357,0.225868702,0.554667175
up,0.440786839,0.205076069,0.442511916,0.215369478
right,0.668796182,0.497906238,0.672106385,0.514995515
up,0.533338487,0.24935627,0.533477604,0.255756021
left,0.332441181,0.419314474,0.337450564,0.437850773
up,0.518882453,0.118172795,0.520499408,0.136914268
right,0.884340227,0.553456366,0.88549304,0.560991108
right,0.744769335,0.416474253,0.747210443,0.433346272
left,0.242096037,0.415161818,0.242719457,0.459455758
right,0.690654337,0.520259082,0.694643319,0.543364525
down,0.492955416,0.675676465,0.494656473,0.68721801
down,0.563063681,0.680897772,0.572163701,0.708607912
left,0.248539269,0.521108508,0.249818653,0.567606688
right,0.753637731,0.4257496,0.752494872,0.446932882
down,0.481108099,0.72483927,0.484905839,0.749056876
down,0.507641077,0.648432791,0.507687032,0.675132036
right,0.70878768,0.499869913,0.708922148,0.529289961
down,0.509111822,0.819206953,0.511633158,0.846361339
left,0.260489464,0.518964231,0.256486356,0.553956449
down,0.478297591,0.718134761,0.474798769,0.730457842
right,0.864903629,0.543152392,0.869658828,0.549952328
up,0.461228758,0.273038656,0.461312413,0.276782542
down,0.532499552,0.679428577,0.524602354,0.684146106
down,0.433959126,0.861462653,0.436289787,0.85168165
